Customer_ID,Customer_Name,Age,Gender,State,Account_Type,Account_Balance_NGN,Monthly_Income_NGN,Employment_Status,Years_With_Bank,Has_Loan,Loan_Type,Loan_Amount_NGN,Credit_Score,Monthly_Transactions,Digital_Banking_User,Account_Opening_Date
NB_000015,Customer_15,48,Female,Lagos,Savings,17028,730786,Self-Employed,0.3,False,,0,558,19,True,2010-02-05 19:14:44.242121060
NB_000016,Customer_16,65,Female,Kaduna,Savings,1004488,1204345,Unemployed,2.2,False,,0,652,16,True,2010-02-08 08:37:13.116558279
NB_000017,Customer_17,73,Female,Osun,Student,93681,376838,Employed,0.7,False,,0,550,19,False,2010-02-10 21:59:41.990995497
NB_000018,Customer_18,28,Male,Kaduna,Current,923855,1480341,Employed,1.7,False,,0,628,15,True,2010-02-13 11:22:10.865432716
NB_000019,Customer_19,64,Male,Kano,Savings,48228,1012657,Employed,2.1,True,Mortgage,118797,830,11,False,2010-02-16 00:44:39.739869934
NB_000020,Customer_20,49,Male,Kano,Savings,151147,58119,Employed,4.0,False,,0,819,18,False,2010-02-18 14:07:08.614307153
NB_000021,Customer_21,65,Female,Edo,Fixed Deposit,261400,158813,Self-Employed,3.5,True,Personal,3163406,662,13,True,2010-02-21 03:29:37.488744372
NB_000022,Customer_22,29,Female,Oyo,Fixed Deposit,141458,310060,Employed,2.8,False,,0,840,9,True,2010-02-23 16:52:06.363181590
NB_000023,Customer_23,46,Male,Lagos,Savings,155000,593451,Student,1.1,False,,0,577,12,False,2010-02-26 06:14:35.237618809
NB_000024,Customer_24,45,Female,Anambra,Savings,179920,278942,Employed,0.3,False,,0,629,18,True,2010-02-28 19:37:04.112056028
NB_000025,Customer_25,57,Female,Edo,Savings,696376,122374,Employed,2.1,False,,0,670,16,False,2010-03-03 08:59:32.986493246
NB_000026,Customer_26,72,Male,Imo,Student,1313660,339226,Employed,6.6,False,,0,556,14,True,2010-03-05 22:22:01.860930465
NB_000027,Customer_27,68,Male,Edo,Fixed Deposit,49196,408801,Employed,12.5,True,,1578310,744,18,False,2010-03-08 11:44:30.735367683
NB_000028,Customer_28,73,Female,Imo,Savings,380104,88270,Employed,1.0,True,Mortgage,851839,671,19,True,2010-03-11 01:06:59.609804902
NB_000029,Customer_29,27,Female,Lagos,Savings,104665,372095,Employed,7.7,False,,0,569,18,True,2010-03-13 14:29:28.484242121
NB_000030,Customer_30,56,Female,Osun,Current,80106,192557,Self-Employed,7.8,True,,1356298,666,22,True,2010-03-16 03:51:57.358679339
NB_000031,Customer_31,44,Female,Oyo,Student,541027,229075,Employed,1.9,False,,0,850,10,True,2010-03-18 17:14:26.233116558
NB_000032,Customer_32,70,Male,Rivers,Savings,13640,842678,Employed,1.5,False,,0,781,19,False,2010-03-21 06:36:55.107553776
NB_000033,Customer_33,60,Male,Kaduna,Student,94189,101567,Self-Employed,0.4,False,,0,617,14,False,2010-03-23 19:59:23.981990995
NB_000034,Customer_34,49,Female,Oyo,Student,18710,309974,Employed,2.2,False,,0,607,16,True,2010-03-26 09:21:52.856428214
NB_000035,Customer_35,51,Female,Kaduna,Current,8949,789210,Student,1.7,True,,1424030,698,22,True,2010-03-28 22:44:21.730865432
NB_000036,Customer_36,40,Male,Rivers,Current,1241609,176454,Employed,11.4,False,,0,678,14,True,2010-03-31 12:06:50.605302651
NB_000037,Customer_37,45,Female,Osun,Current,206733,533369,Self-Employed,1.7,False,,0,636,15,True,2010-04-03 01:29:19.479739869
NB_000038,Customer_38,40,Female,Oyo,Savings,458634,404494,Self-Employed,0.1,False,,0,751,17,True,2010-04-05 14:51:48.354177088
NB_000039,Customer_39,73,Male,Lagos,Savings,30049,918820,Employed,1.8,False,,0,801,19,False,2010-04-08 04:14:17.228614307
NB_000040,Customer_40,23,Female,Osun,Savings,260027,405653,Employed,3.4,True,,1748439,668,14,True,2010-04-10 17:36:46.103051525
NB_000041,Customer_41,47,Male,Rivers,Savings,358593,495312,Self-Employed,0.3,True,,1182471,491,18,True,2010-04-13 06:59:14.977488744
NB_000042,Customer_42,69,Male,Imo,Current,953945,217438,Employed,1.1,False,,0,666,14,True,2010-04-15 20:21:43.851925962
NB_000043,Customer_43,72,Female,Osun,Savings,93514,395845,Employed,5.1,False,,0,622,11,True,2010-04-18 09:44:12.726363180
NB_000044,Customer_44,22,Female,Imo,Student,71500,488799,Employed,0.7,False,,0,584,11,False,2010-04-20 23:06:41.600800400
NB_000045,Customer_45,40,Male,Edo,Current,455103,569262,Employed,1.2,False,,0,598,16,True,2010-04-23 12:29:10.475237618
NB_000046,Customer_46,72,Female,Edo,Current,300822,827957,Student,11.0,False,,0,784,18,True,2010-04-26 01:51:39.349674836
NB_000047,Customer_47,38,Female,Kano,Current,11821,538554,Employed,1.9,False,,0,557,20,True,2010-04-28 15:14:08.224112056
NB_000048,Customer_48,26,Female,Oyo,Fixed Deposit,79007,214800,Employed,5.6,False,,0,583,8,True,2010-05-01 04:36:37.098549274
NB_000049,Customer_49,36,Male,Rivers,Savings,440477,611981,Employed,1.0,False,,0,612,17,True,2010-05-03 17:59:05.972986492
NB_000050,Customer_50,51,Female,Kano,Current,1131905,100276,Employed,4.0,True,,835354,838,16,True,2010-05-06 07:21:34.847423712
NB_000051,Customer_51,44,Female,Edo,Fixed Deposit,1616095,1384967,Employed,0.4,False,,0,588,19,True,2010-05-08 20:44:03.721860930
NB_000052,Customer_52,28,Female,Lagos,Savings,160150,1532975,Employed,0.6,False,,0,685,14,False,2010-05-11 10:06:32.596298148
NB_000053,Customer_53,25,Male,Imo,Fixed Deposit,169607,574072,Employed,0.6,False,,0,553,17,True,2010-05-13 23:29:01.470735366
NB_000054,Customer_54,66,Male,Anambra,Savings,73892,133891,Self-Employed,1.1,False,,0,636,15,True,2010-05-16 12:51:30.345172586
NB_000055,Customer_55,58,Male,Oyo,Savings,113452,986184,Student,12.4,False,,0,598,16,False,2010-05-19 02:13:59.219609804
NB_000056,Customer_56,71,Male,Delta,Savings,207767,1642942,Employed,1.4,False,,0,572,16,True,2010-05-21 15:36:28.094047022
NB_000057,Customer_57,48,Male,Osun,Current,4984,283481,Employed,3.4,False,,0,622,16,False,2010-05-24 04:58:56.968484242
NB_000058,Customer_58,31,Female,Kaduna,Savings,3866,306664,Employed,2.9,False,,0,702,16,True,2010-05-26 18:21:25.842921460
NB_000059,Customer_59,50,Female,Lagos,Student,6009,89323,Self-Employed,7.8,True,,521438,638,12,True,2010-05-29 07:43:54.717358678
NB_000060,Customer_60,73,Female,Kaduna,Savings,603855,583580,Employed,6.6,False,,0,771,14,True,2010-05-31 21:06:23.591795898
NB_000061,Customer_61,18,Female,Delta,Current,128622,370281,Unemployed,3.3,True,,1753393,597,18,True,2010-06-03 10:28:52.466233116
NB_000062,Customer_62,61,Male,Kaduna,Current,904479,140923,Self-Employed,3.0,True,Auto,163148,573,19,True,2010-06-05 23:51:21.340670334
NB_000063,Customer_63,31,Male,Osun,Savings,198211,353411,Unemployed,0.6,False,,0,712,16,False,2010-06-08 13:13:50.215107552
NB_000064,Customer_64,73,Male,Anambra,Student,105613,469073,Employed,10.0,False,,0,547,14,True,2010-06-11 02:36:19.089544772
NB_000065,Customer_65,40,Female,Delta,Savings,273101,933616,Employed,2.1,False,,0,616,14,True,2010-06-13 15:58:47.963981990
NB_000066,Customer_66,56,Female,Osun,Current,1629019,1258666,Employed,1.4,False,,0,605,15,True,2010-06-16 05:21:16.838419208
NB_000067,Customer_67,29,Male,Kano,Savings,1823188,906373,Employed,2.3,False,,0,397,17,True,2010-06-18 18:43:45.712856428
NB_000068,Customer_68,66,Female,Delta,Savings,91800,3691154,Employed,2.3,False,,0,593,13,True,2010-06-21 08:06:14.587293646
NB_000069,Customer_69,65,Female,Anambra,Student,21212,223029,Employed,0.1,True,,3352412,685,12,True,2010-06-23 21:28:43.461730864
NB_000070,Customer_70,56,Female,Edo,Fixed Deposit,88190,3179715,Employed,0.1,True,Mortgage,3055063,701,18,True,2010-06-26 10:51:12.336168082
NB_000071,Customer_71,57,Female,Edo,Savings,151015,488445,Student,0.8,False,,0,539,14,True,2010-06-29 00:13:41.210605302
NB_000072,Customer_72,26,Male,Kaduna,Student,12901,157626,Employed,0.8,True,,1201593,672,9,False,2010-07-01 13:36:10.085042520
NB_000073,Customer_73,31,Female,Rivers,Savings,2042587,484904,Unemployed,1.1,False,,0,568,11,False,2010-07-04 02:58:38.959479738
NB_000074,Customer_74,47,Female,Lagos,Fixed Deposit,16584,133124,Employed,0.7,False,,0,718,16,True,2010-07-06 16:21:07.833916958
NB_000075,Customer_75,40,Female,Osun,Savings,761366,1057074,Employed,0.9,False,,0,410,12,True,2010-07-09 05:43:36.708354176
NB_000076,Customer_76,66,Female,Rivers,Current,288684,414583,Employed,0.4,False,,0,680,19,False,2010-07-11 19:06:05.582791394
NB_000077,Customer_77,58,Female,Kaduna,Savings,978866,180928,Self-Employed,0.4,True,,410069,686,10,True,2010-07-14 08:28:34.457228614
NB_000078,Customer_78,63,Male,Edo,Student,258472,597707,Retired,4.2,True,,1530106,592,18,True,2010-07-16 21:51:03.331665832
NB_000079,Customer_79,61,Male,Oyo,Student,112798,2393036,Employed,0.4,False,,0,592,11,True,2010-07-19 11:13:32.206103050
NB_000080,Customer_80,19,Male,Lagos,Current,16520,1146184,Employed,1.5,True,,509439,681,17,True,2010-07-22 00:36:01.080540268
NB_000081,Customer_81,26,Female,Edo,Savings,296650,213724,Retired,0.2,False,,0,614,15,True,2010-07-24 13:58:29.954977488
NB_000082,Customer_82,19,Male,Rivers,Current,22510,359077,Unemployed,3.2,False,,0,664,18,True,2010-07-27 03:20:58.829414706
NB_000083,Customer_83,51,Male,Lagos,Savings,134102,2925312,Employed,11.3,False,,0,547,15,False,2010-07-29 16:43:27.703851924
NB_000084,Customer_84,71,Female,Delta,Current,67705,284153,Employed,2.0,True,,312585,826,11,True,2010-08-01 06:05:56.578289144
NB_000085,Customer_85,63,Male,Edo,Savings,484121,554774,Employed,1.1,False,,0,678,11,False,2010-08-03 19:28:25.452726360
NB_000086,Customer_86,18,Male,Lagos,Savings,141208,240911,Employed,2.7,False,,0,692,15,True,2010-08-06 08:50:54.327163580
NB_000087,Customer_87,30,Female,Imo,Savings,106568,117268,Self-Employed,8.5,False,,0,634,24,False,2010-08-08 22:13:23.201600800
NB_000088,Customer_88,71,Female,Lagos,Savings,236155,3225286,Employed,1.6,False,,0,602,15,True,2010-08-11 11:35:52.076038016
NB_000089,Customer_89,25,Female,Osun,Student,108013,973967,Self-Employed,0.1,True,,355572,638,16,True,2010-08-14 00:58:20.950475236
NB_000090,Customer_90,68,Female,Rivers,Savings,167526,1557936,Self-Employed,5.8,False,,0,717,15,False,2010-08-16 14:20:49.824912456
NB_000091,Customer_91,29,Male,Kano,Current,43650,30210,Employed,1.6,True,,581021,644,20,True,2010-08-19 03:43:18.699349672
NB_000092,Customer_92,68,Female,Osun,Fixed Deposit,260366,942435,Employed,6.5,True,,594464,690,10,False,2010-08-21 17:05:47.573786892
NB_000093,Customer_93,45,Male,Delta,Savings,338859,761477,Employed,9.6,False,,0,686,22,True,2010-08-24 06:28:16.448224112
NB_000094,Customer_94,31,Male,Edo,Savings,29498,37535,Self-Employed,0.8,False,,0,533,24,True,2010-08-26 19:50:45.322661328
NB_000095,Customer_95,20,Female,Kaduna,Current,2404980,430395,Employed,0.2,False,,0,435,16,False,2010-08-29 09:13:14.197098548
NB_000096,Customer_96,72,Female,Lagos,Savings,859586,75817,Employed,4.5,False,,0,707,10,True,2010-08-31 22:35:43.071535768
NB_000097,Customer_97,41,Male,Edo,Savings,39547,2272179,Employed,4.8,False,,0,542,6,False,2010-09-03 11:58:11.945972984
NB_000098,Customer_98,38,Male,Osun,Savings,14492117,1592188,Unemployed,0.4,True,,2806394,617,17,True,2010-09-06 01:20:40.820410204
NB_000099,Customer_99,59,Male,Oyo,Current,864682,394362,Employed,2.0,False,,0,624,12,True,2010-09-08 14:43:09.694847424
NB_000100,Customer_100,58,Female,Rivers,Fixed Deposit,194093,955641,Retired,0.6,False,,0,642,8,False,2010-09-11 04:05:38.569284640
NB_000101,Customer_101,47,Female,Oyo,Current,27680,91940,Student,0.4,True,,8838130,563,3,False,2010-09-13 17:28:07.443721860
NB_000102,Customer_102,70,Male,Oyo,Savings,35032,176085,Self-Employed,2.6,False,,0,535,8,True,2010-09-16 06:50:36.318159076
NB_000103,Customer_103,40,Female,Rivers,Current,51381,33001,Employed,1.6,True,,25713907,682,14,True,2010-09-18 20:13:05.192596296
NB_000104,Customer_104,41,Female,Kaduna,Fixed Deposit,227766,198396,Employed,10.9,True,,2382104,740,16,True,2010-09-21 09:35:34.067033516
NB_000105,Customer_105,21,Male,Rivers,Savings,755005,8206354,Self-Employed,8.8,False,,0,707,18,True,2010-09-23 22:58:02.941470732
NB_000106,Customer_106,21,Male,Anambra,Savings,398233,1569861,Employed,0.4,False,,0,839,13,False,2010-09-26 12:20:31.815907952
NB_000107,Customer_107,74,Male,Kano,Savings,622683,63974,Employed,3.6,False,,0,646,15,False,2010-09-29 01:43:00.690345172
NB_000108,Customer_108,60,Female,Imo,Student,245202,1651473,Employed,2.4,False,,0,613,14,True,2010-10-01 15:05:29.564782388
NB_000109,Customer_109,29,Female,Imo,Savings,177073,731284,Student,6.1,False,,0,676,13,True,2010-10-04 04:27:58.439219608
NB_000110,Customer_110,65,Female,Delta,Student,2839440,910681,Employed,2.8,True,Mortgage,7938745,770,15,True,2010-10-06 17:50:27.313656828
NB_000111,Customer_111,38,Female,Oyo,Fixed Deposit,88876,290299,Employed,1.6,True,Personal,1488292,574,20,True,2010-10-09 07:12:56.188094044
NB_000112,Customer_112,44,Female,Anambra,Student,418686,83925,Employed,4.8,True,,307870,658,15,True,2010-10-11 20:35:25.062531264
NB_000113,Customer_113,23,Male,Imo,Current,147205,666529,Employed,4.6,True,,2627849,802,15,False,2010-10-14 09:57:53.936968484
NB_000114,Customer_114,66,Female,Anambra,Current,464421,315151,Self-Employed,0.5,False,,0,770,18,True,2010-10-16 23:20:22.811405700
NB_000115,Customer_115,56,Female,Kaduna,Savings,454002,2327959,Employed,1.3,True,,1163106,646,20,False,2010-10-19 12:42:51.685842920
NB_000116,Customer_116,69,Female,Delta,Savings,112359,415729,Employed,9.1,False,,0,576,21,True,2010-10-22 02:05:20.560280140
NB_000117,Customer_117,19,Male,Edo,Fixed Deposit,15075,27459,Self-Employed,12.8,False,,0,627,9,False,2010-10-24 15:27:49.434717356
NB_000118,Customer_118,65,Male,Imo,Fixed Deposit,285279,689901,Student,0.1,True,Personal,806933,450,11,True,2010-10-27 04:50:18.309154576
NB_000119,Customer_119,43,Male,Lagos,Current,251551,178773,Employed,6.0,False,,0,568,19,True,2010-10-29 18:12:47.183591796
NB_000120,Customer_120,50,Male,Imo,Savings,1011042,211847,Employed,3.6,True,,1975653,561,13,True,2010-11-01 07:35:16.058029012
NB_000121,Customer_121,72,Female,Kaduna,Student,1449407,225815,Employed,0.7,False,,0,559,14,False,2010-11-03 20:57:44.932466232
NB_000122,Customer_122,37,Male,Kano,Current,1231781,346658,Student,0.8,True,Personal,2649121,616,22,True,2010-11-06 10:20:13.806903448
NB_000123,Customer_123,69,Male,Anambra,Savings,258621,189860,Unemployed,1.3,True,,4338071,680,19,True,2010-11-08 23:42:42.681340668
NB_000124,Customer_124,27,Male,Edo,Savings,1339872,1981044,Self-Employed,2.9,False,,0,654,10,True,2010-11-11 13:05:11.555777888
NB_000125,Customer_125,70,Female,Rivers,Savings,411302,422876,Employed,2.5,False,,0,645,17,False,2010-11-14 02:27:40.430215104
NB_000126,Customer_126,46,Male,Osun,Student,223717,459622,Employed,6.8,True,,1115733,548,19,True,2010-11-16 15:50:09.304652324
NB_000127,Customer_127,60,Female,Lagos,Savings,57796,351719,Employed,10.8,False,,0,518,8,False,2010-11-19 05:12:38.179089544
NB_000128,Customer_128,56,Female,Imo,Savings,367616,1767208,Employed,7.2,False,,0,707,9,False,2010-11-21 18:35:07.053526760
NB_000129,Customer_129,60,Female,Lagos,Savings,84347,526403,Student,2.9,True,,862860,580,16,False,2010-11-24 07:57:35.927963980
NB_000130,Customer_130,50,Female,Osun,Current,44645,190521,Student,3.3,False,,0,824,12,False,2010-11-26 21:20:04.802401200
NB_000131,Customer_131,29,Male,Delta,Current,819843,2273759,Self-Employed,0.4,False,,0,615,16,True,2010-11-29 10:42:33.676838416
NB_000132,Customer_132,40,Male,Edo,Fixed Deposit,111701,189770,Employed,3.6,False,,0,641,13,False,2010-12-02 00:05:02.551275636
NB_000133,Customer_133,63,Male,Delta,Fixed Deposit,685237,526777,Employed,0.2,True,Auto,324314,662,16,True,2010-12-04 13:27:31.425712856
NB_000134,Customer_134,24,Female,Delta,Current,104114,262898,Self-Employed,2.6,False,,0,704,16,True,2010-12-07 02:50:00.300150072
NB_000135,Customer_135,25,Male,Oyo,Savings,1436802,574002,Self-Employed,2.8,False,,0,685,17,True,2010-12-09 16:12:29.174587292
NB_000136,Customer_136,46,Female,Kano,Current,1667822,160354,Unemployed,0.3,False,,0,633,15,True,2010-12-12 05:34:58.049024512
NB_000137,Customer_137,49,Male,Lagos,Student,23429,946563,Employed,2.5,False,,0,610,17,True,2010-12-14 18:57:26.923461728
NB_000138,Customer_138,65,Male,Kano,Savings,812851,243572,Employed,17.1,False,,0,568,14,True,2010-12-17 08:19:55.797898948
NB_000139,Customer_139,30,Female,Kano,Savings,518275,419571,Employed,1.2,False,,0,612,13,True,2010-12-19 21:42:24.672336164
NB_000140,Customer_140,31,Male,Lagos,Current,108164,984447,Retired,3.3,True,Personal,256284,578,17,False,2010-12-22 11:04:53.546773384
NB_000141,Customer_141,34,Male,Osun,Savings,282060,707882,Self-Employed,0.8,False,,0,696,15,False,2010-12-25 00:27:22.421210604
NB_000142,Customer_142,42,Female,Lagos,Current,1117045,373892,Employed,1.8,False,,0,624,14,True,2010-12-27 13:49:51.295647820
NB_000143,Customer_143,28,Female,Kaduna,Fixed Deposit,100453,4657992,Self-Employed,3.5,False,,0,666,16,True,2010-12-30 03:12:20.170085040
NB_000144,Customer_144,41,Female,Edo,Savings,146745,223680,Self-Employed,2.9,False,,0,602,11,False,2011-01-01 16:34:49.044522260
NB_000145,Customer_145,41,Female,Kano,Student,433476,234427,Retired,1.4,False,,0,637,14,True,2011-01-04 05:57:17.918959476
NB_000146,Customer_146,28,Female,Osun,Current,321330,873532,Employed,2.0,False,,0,512,20,False,2011-01-06 19:19:46.793396696
NB_000147,Customer_147,29,Female,Imo,Current,301889,516062,Employed,0.1,False,,0,413,17,True,2011-01-09 08:42:15.667833916
NB_000148,Customer_148,37,Female,Lagos,Savings,580413,163549,Student,2.6,False,,0,551,13,True,2011-01-11 22:04:44.542271132
NB_000149,Customer_149,36,Male,Osun,Savings,298989,656873,Employed,2.9,False,,0,539,15,True,2011-01-14 11:27:13.416708352
NB_000150,Customer_150,47,Female,Lagos,Savings,39848,454359,Employed,5.6,False,,0,741,21,True,2011-01-17 00:49:42.291145572
NB_000151,Customer_151,49,Female,Rivers,Savings,1259685,900197,Employed,0.3,True,,309357,771,14,True,2011-01-19 14:12:11.165582788
NB_000152,Customer_152,18,Female,Kano,Student,67860,939932,Employed,1.6,False,,0,695,10,True,2011-01-22 03:34:40.040020008
NB_000153,Customer_153,50,Male,Anambra,Savings,154226,43791,Student,3.9,True,,1061476,781,18,True,2011-01-24 16:57:08.914457228
NB_000154,Customer_154,69,Male,Edo,Fixed Deposit,975563,2297777,Employed,9.2,False,,0,616,18,True,2011-01-27 06:19:37.788894444
NB_000155,Customer_155,55,Female,Lagos,Fixed Deposit,236898,78071,Retired,0.5,False,,0,669,16,True,2011-01-29 19:42:06.663331664
NB_000156,Customer_156,53,Male,Edo,Fixed Deposit,152546,208068,Employed,5.7,True,,3027429,604,19,True,2011-02-01 09:04:35.537768884
NB_000157,Customer_157,70,Female,Rivers,Fixed Deposit,417793,159579,Employed,5.9,False,,0,628,11,True,2011-02-03 22:27:04.412206100
NB_000158,Customer_158,65,Male,Oyo,Savings,93979,207463,Self-Employed,1.0,True,Business,2004844,696,13,True,2011-02-06 11:49:33.286643320
NB_000159,Customer_159,38,Female,Lagos,Savings,93035,178154,Employed,0.1,False,,0,467,16,True,2011-02-09 01:12:02.161080536
NB_000160,Customer_160,74,Male,Imo,Current,78849,315372,Employed,1.3,True,,220629,616,15,False,2011-02-11 14:34:31.035517756
NB_000161,Customer_161,32,Female,Rivers,Current,399353,298961,Employed,1.2,True,,829816,774,12,True,2011-02-14 03:56:59.909954976
NB_000162,Customer_162,23,Female,Kaduna,Savings,1419693,440177,Student,0.7,False,,0,421,15,False,2011-02-16 17:19:28.784392192
NB_000163,Customer_163,70,Male,Kano,Savings,1410413,432895,Employed,6.0,False,,0,579,16,True,2011-02-19 06:41:57.658829412
NB_000164,Customer_164,22,Female,Oyo,Fixed Deposit,142914,917538,Self-Employed,7.5,False,,0,688,17,True,2011-02-21 20:04:26.533266632
NB_000165,Customer_165,60,Male,Anambra,Savings,35843,941977,Student,4.0,True,,9022498,659,12,True,2011-02-24 09:26:55.407703848
NB_000166,Customer_166,69,Male,Oyo,Savings,7188407,263660,Self-Employed,4.1,True,,963494,607,17,True,2011-02-26 22:49:24.282141064
NB_000167,Customer_167,25,Female,Edo,Savings,30889,1635248,Employed,2.2,True,,5380624,696,13,True,2011-03-01 12:11:53.156578288
NB_000168,Customer_168,72,Female,Kano,Current,23910,494878,Employed,1.5,True,Personal,16199601,796,12,True,2011-03-04 01:34:22.031015504
NB_000169,Customer_169,22,Female,Lagos,Savings,84825,179395,Employed,0.9,False,,0,575,11,False,2011-03-06 14:56:50.905452720
NB_000170,Customer_170,43,Female,Kano,Student,85930,161821,Employed,2.4,False,,0,642,11,True,2011-03-09 04:19:19.779889944
NB_000171,Customer_171,41,Male,Oyo,Savings,25515,704946,Employed,4.2,False,,0,649,17,True,2011-03-11 17:41:48.654327160
NB_000172,Customer_172,43,Female,Oyo,Savings,317281,251365,Self-Employed,4.0,False,,0,548,16,False,2011-03-14 07:04:17.528764376
NB_000173,Customer_173,36,Male,Oyo,Current,22581,225479,Employed,4.1,False,,0,589,18,True,2011-03-16 20:26:46.403201600
NB_000174,Customer_174,46,Female,Oyo,Savings,76941,245687,Retired,3.1,False,,0,698,14,True,2011-03-19 09:49:15.277638816
NB_000175,Customer_175,72,Female,Anambra,Current,1802150,930125,Unemployed,0.1,False,,0,566,10,True,2011-03-21 23:11:44.152076032
NB_000176,Customer_176,24,Female,Lagos,Current,48703,1990708,Unemployed,3.4,False,,0,779,15,True,2011-03-24 12:34:13.026513256
NB_000177,Customer_177,41,Male,Anambra,Savings,241032,234735,Self-Employed,5.4,False,,0,660,14,True,2011-03-27 01:56:41.900950472
NB_000178,Customer_178,35,Female,Oyo,Student,55934,792242,Employed,9.5,False,,0,688,12,True,2011-03-29 15:19:10.775387688
NB_000179,Customer_179,31,Female,Osun,Fixed Deposit,51654,1027793,Retired,0.4,False,,0,702,10,True,2011-04-01 04:41:39.649824912
NB_000180,Customer_180,70,Female,Osun,Savings,3256,1431830,Employed,4.1,True,,1538526,528,13,True,2011-04-03 18:04:08.524262128
NB_000181,Customer_181,45,Female,Osun,Fixed Deposit,42962,1815265,Employed,1.8,False,,0,673,15,True,2011-04-06 07:26:37.398699344
NB_000182,Customer_182,23,Male,Kaduna,Current,295815,86012,Self-Employed,5.4,True,Mortgage,1368986,808,11,False,2011-04-08 20:49:06.273136568
NB_000183,Customer_183,42,Male,Kaduna,Current,1996741,1237079,Employed,4.0,False,,0,688,11,False,2011-04-11 10:11:35.147573784
NB_000184,Customer_184,50,Male,Imo,Savings,164477,2099659,Employed,12.7,True,Personal,2759779,653,13,False,2011-04-13 23:34:04.022011000
NB_000185,Customer_185,44,Male,Kano,Current,92671,119864,Employed,1.1,False,,0,533,15,True,2011-04-16 12:56:32.896448224
NB_000186,Customer_186,31,Female,Edo,Current,368720,2906680,Student,0.8,True,,800047,826,15,True,2011-04-19 02:19:01.770885440
NB_000187,Customer_187,36,Male,Delta,Current,18331,757448,Student,5.6,False,,0,828,9,False,2011-04-21 15:41:30.645322656
NB_000188,Customer_188,25,Female,Kaduna,Fixed Deposit,132473,426336,Employed,2.1,False,,0,528,15,True,2011-04-24 05:03:59.519759880
NB_000189,Customer_189,45,Male,Osun,Fixed Deposit,80415,449190,Employed,0.1,False,,0,523,12,False,2011-04-26 18:26:28.394197096
NB_000190,Customer_190,68,Male,Lagos,Current,510493,705393,Employed,5.5,False,,0,643,15,True,2011-04-29 07:48:57.268634312
NB_000191,Customer_191,52,Female,Imo,Student,527811,1730867,Self-Employed,3.8,False,,0,624,11,True,2011-05-01 21:11:26.143071536
NB_000192,Customer_192,41,Male,Delta,Fixed Deposit,1097952,765579,Employed,3.0,True,,266307,667,9,False,2011-05-04 10:33:55.017508752
NB_000193,Customer_193,50,Female,Rivers,Student,170829,347246,Student,2.1,False,,0,452,11,True,2011-05-06 23:56:23.891945968
NB_000194,Customer_194,58,Male,Osun,Savings,82640,748217,Self-Employed,6.4,False,,0,543,13,True,2011-05-09 13:18:52.766383192
NB_000195,Customer_195,47,Female,Edo,Student,12114633,335403,Student,0.4,False,,0,541,14,True,2011-05-12 02:41:21.640820408
NB_000196,Customer_196,42,Female,Oyo,Current,442955,402415,Employed,7.8,False,,0,588,20,False,2011-05-14 16:03:50.515257624
NB_000197,Customer_197,28,Male,Anambra,Savings,334839,481951,Employed,0.4,True,,1125767,785,17,True,2011-05-17 05:26:19.389694848
